vividseatsID,vividseatsTitle,vividseatsPrice
VIVID - 116,Oakland Athletics at New York Yankees,60
VIVID - 117,Baltimore Orioles at Minnesota Twins,105
VIVID - 118,Toronto Blue Jays at Minnesota Twins,75
VIVID - 119,Seattle Mariners at Minnesota Twins,72
VIVID - 120,Texas Rangers at Minnesota Twins,75
VIVID - 121,Cleveland Indians at Minnesota Twins,66
VIVID - 122,Los Angeles Angels of Anaheim at Minnesota Twins,86
VIVID - 123,Chicago White Sox at Minnesota Twins,69
VIVID - 124,Kansas City Royals at Minnesota Twins,106
VIVID - 125,Tampa Bay Rays at Minnesota Twins,62
VIVID - 126,Detroit Tigers at Minnesota Twins,123
VIVID - 127,Boston Red Sox at Minnesota Twins,55
VIVID - 128,Chicago Cubs at Minnesota Twins,98
VIVID - 129,Philadelphia Phillies at Minnesota Twins,84
VIVID - 130,Oakland Athletics at Minnesota Twins,60
VIVID - 131,Milwaukee Brewers at Minnesota Twins,63
VIVID - 132,Houston Astros at Milwaukee Brewers,87
VIVID - 133,Miami Marlins at Milwaukee Brewers,77
VIVID - 134,Cincinnati Reds at Milwaukee Brewers,64
VIVID - 135,Chicago Cubs at Milwaukee Brewers,59
VIVID - 136,Pittsburgh Pirates at Milwaukee Brewers,65
VIVID - 137,Minnesota Twins at Milwaukee Brewers,134
VIVID - 138,San Francisco Giants at Milwaukee Brewers,102
VIVID - 139,Los Angeles Dodgers at Milwaukee Brewers,117
VIVID - 140,Washington Nationals at Milwaukee Brewers,69
VIVID - 141,Colorado Rockies at Milwaukee Brewers,75
VIVID - 142,Arizona Diamondbacks at Milwaukee Brewers,75
VIVID - 143,San Diego Padres at Milwaukee Brewers,66
VIVID - 144,Toronto Blue Jays at Milwaukee Brewers,60
VIVID - 145,St. Louis Cardinals at Milwaukee Brewers,74
VIVID - 146,New York Mets at Milwaukee Brewers,75
VIVID - 147,Philadelphia Phillies at Milwaukee Brewers,58
VIVID - 148,Atlanta Braves at Milwaukee Brewers,122
VIVID - 149,New York Yankees at Minnesota Twins,100
VIVID - 150,Los Angeles Angels of Anaheim at Texas Rangers,119
VIVID - 151,Tampa Bay Rays at Texas Rangers,97
VIVID - 152,Seattle Mariners at Texas Rangers,58
VIVID - 153,Minnesota Twins at Texas Rangers,98
VIVID - 154,Houston Astros at Texas Rangers,79
VIVID - 155,Detroit Tigers at Texas Rangers,72
VIVID - 156,Cleveland Indians at Texas Rangers,38
VIVID - 157,Boston Red Sox at Texas Rangers,40
VIVID - 158,Chicago White Sox at Texas Rangers,57
VIVID - 159,Oakland Athletics at Texas Rangers,45
VIVID - 160,Colorado Rockies at Texas Rangers,45
VIVID - 161,New York Yankees at Texas Rangers,45
VIVID - 162,Arizona Diamondbacks at Texas Rangers,108
VIVID - 163,Baltimore Orioles at Texas Rangers,54
VIVID - 164,Toronto Blue Jays at Texas Rangers,82
VIVID - 165,Kansas City Royals at Texas Rangers,114
VIVID - 166,Minnesota Twins at Detroit Tigers,99
VIVID - 167,Texas Rangers at Detroit Tigers,88
VIVID - 168,Chicago White Sox at Detroit Tigers,107
VIVID - 169,New York Yankees at Detroit Tigers,112
VIVID - 170,St. Louis Cardinals at Detroit Tigers,72
VIVID - 171,Cleveland Indians at Detroit Tigers,90
VIVID - 172,Tampa Bay Rays at Detroit Tigers,110
VIVID - 173,Kansas City Royals at Detroit Tigers,43
VIVID - 174,Oakland Athletics at Detroit Tigers,51
VIVID - 175,Boston Red Sox at Detroit Tigers,59
VIVID - 176,Seattle Mariners at Detroit Tigers,56
VIVID - 177,Baltimore Orioles at Detroit Tigers,113
VIVID - 178,Colorado Rockies at Detroit Tigers,83
VIVID - 179,Pittsburgh Pirates at Detroit Tigers,60
VIVID - 180,Toronto Blue Jays at Detroit Tigers,117
VIVID - 181,San Francisco Giants at Arizona Diamondbacks,94
VIVID - 182,Houston Astros at Chicago Cubs,57
VIVID - 183,Colorado Rockies at St. Louis Cardinals,72
VIVID - 184,Cincinnati Reds at St. Louis Cardinals,47
VIVID - 185,Cleveland Indians at St. Louis Cardinals,120
VIVID - 186,San Francisco Giants at St. Louis Cardinals,86
VIVID - 187,New York Mets at St. Louis Cardinals,49
VIVID - 188,Milwaukee Brewers at St. Louis Cardinals,113
VIVID - 189,Chicago Cubs at St. Louis Cardinals,77
VIVID - 190,Philadelphia Phillies at St. Louis Cardinals,109
VIVID - 191,Arizona Diamondbacks at St. Louis Cardinals,63
VIVID - 192,Washington Nationals at St. Louis Cardinals,99
VIVID - 193,Miami Marlins at St. Louis Cardinals,81
VIVID - 194,San Diego Padres at St. Louis Cardinals,71
VIVID - 195,Houston Astros at St. Louis Cardinals,77
VIVID - 196,Pittsburgh Pirates at St. Louis Cardinals,69
VIVID - 197,Kansas City Royals at St. Louis Cardinals,92
VIVID - 198,Los Angeles Dodgers at St. Louis Cardinals,35
VIVID - 199,Atlanta Braves at St. Louis Cardinals,33
VIVID - 200,Chicago White Sox at St. Louis Cardinals,72
VIVID - 201,Baltimore Orioles at Los Angeles Angels of Anaheim,56
VIVID - 202,Oakland Athletics at Los Angeles Angels of Anaheim,62
VIVID - 203,Chicago White Sox at Los Angeles Angels of Anaheim,55
VIVID - 204,Tampa Bay Rays at Los Angeles Angels of Anaheim,115
VIVID - 205,Toronto Blue Jays at Los Angeles Angels of Anaheim,35
VIVID - 206,San Francisco Giants at Los Angeles Angels of Anaheim,97
VIVID - 207,Texas Rangers at Los Angeles Angels of Anaheim,71
VIVID - 208,New York Yankees at Los Angeles Angels of Anaheim,50
VIVID - 209,Seattle Mariners at Los Angeles Angels of Anaheim,70
VIVID - 210,Arizona Diamondbacks at Los Angeles Angels of Anaheim,56
VIVID - 211,Kansas City Royals at Los Angeles Angels of Anaheim,92
VIVID - 212,Cleveland Indians at Los Angeles Angels of Anaheim,45
VIVID - 213,Los Angeles Dodgers at Los Angeles Angels of Anaheim,75
VIVID - 214,Detroit Tigers at Los Angeles Angels of Anaheim,105
VIVID - 215,Boston Red Sox at Los Angeles Angels of Anaheim,62
VIVID - 216,Minnesota Twins at Los Angeles Angels of Anaheim,64
VIVID - 217,Milwaukee Brewers at Chicago Cubs,77
VIVID - 218,Cincinnati Reds at Chicago Cubs,98
VIVID - 219,Pittsburgh Pirates at Chicago Cubs,66
VIVID - 220,Atlanta Braves at Chicago Cubs,55
VIVID - 221,Miami Marlins at Chicago Cubs,55
VIVID - 222,New York Mets at Chicago Cubs,91
VIVID - 223,Detroit Tigers at Chicago Cubs,107
VIVID - 224,St. Louis Cardinals at Chicago Cubs,112
VIVID - 225,San Francisco Giants at Chicago Cubs,68
VIVID - 226,Chicago White Sox at Chicago Cubs,58
VIVID - 227,Los Angeles Dodgers at Chicago Cubs,43
VIVID - 228,Philadelphia Phillies at Chicago Cubs,67
VIVID - 229,Boston Red Sox at Chicago Cubs,41
VIVID - 230,San Diego Padres at Chicago Cubs,45
VIVID - 231,Arizona Diamondbacks at Chicago Cubs,70
VIVID - 232,Washington Nationals at Chicago Cubs,80
VIVID - 233,Colorado Rockies at Chicago Cubs,62
VIVID - 234,Los Angeles Dodgers at Arizona Diamondbacks,73
VIVID - 235,St. Louis Cardinals at Arizona Diamondbacks,117
VIVID - 236,San Diego Padres at Arizona Diamondbacks,78
VIVID - 237,Atlanta Braves at Arizona Diamondbacks,101
VIVID - 238,New York Mets at Arizona Diamondbacks,65
VIVID - 239,Oakland Athletics at Arizona Diamondbacks,60
VIVID - 240,Houston Astros at Arizona Diamondbacks,79
VIVID - 241,Milwaukee Brewers at Arizona Diamondbacks,76
VIVID - 242,Chicago Cubs at Arizona Diamondbacks,64
VIVID - 243,Pittsburgh Pirates at Arizona Diamondbacks,75
VIVID - 244,Washington Nationals at Arizona Diamondbacks,75
VIVID - 245,Cincinnati Reds at Arizona Diamondbacks,66
VIVID - 246,Colorado Rockies at Arizona Diamondbacks,51
VIVID - 247,Miami Marlins at Arizona Diamondbacks,72
VIVID - 248,San Francisco Giants  at Arizona Diamondbacks,50
VIVID - 249,Philadelphia Phillies at Arizona Diamondbacks,122
VIVID - 250,Detroit Tigers at Kansas City Royals,119
VIVID - 251,Texas Rangers at Kansas City Royals,120
VIVID - 252,Minnesota Twins at Kansas City Royals,68
VIVID - 253,Chicago White Sox at Kansas City Royals,92
VIVID - 254,Los Angeles Angels of Anaheim at Kansas City Royals,66
VIVID - 255,Boston Red Sox at Kansas City Royals,54
VIVID - 256,Cleveland Indians at Kansas City Royals,68
VIVID - 257,Tampa Bay Rays at Kansas City Royals,89
VIVID - 258,Toronto Blue Jays at Kansas City Royals,93
VIVID - 259,Arizona Diamondbacks at Kansas City Royals,41
VIVID - 260,New York Yankees at Kansas City Royals,56
VIVID - 261,Oakland Athletics at Kansas City Royals,91
VIVID - 262,Seattle Mariners at Kansas City Royals,54
VIVID - 263,Milwaukee Brewers at Kansas City Royals,49
VIVID - 264,St. Louis Cardinals at Kansas City Royals,65
VIVID - 265,Baltimore Orioles at Kansas City Royals,40
VIVID - 266,Kansas City Royals at Toronto Blue Jays,43
VIVID - 267,Seattle Mariners at Toronto Blue Jays,72
VIVID - 268,Tampa Bay Rays at Toronto Blue Jays,57
VIVID - 269,Detroit Tigers at Toronto Blue Jays,69
VIVID - 270,New York Yankees at Toronto Blue Jays,72
VIVID - 271,Baltimore Orioles at Toronto Blue Jays,33
VIVID - 272,Cleveland Indians at Toronto Blue Jays,65
VIVID - 273,Boston Red Sox at Toronto Blue Jays,86
VIVID - 274,Chicago White Sox at Toronto Blue Jays,64
VIVID - 275,Minnesota Twins at Toronto Blue Jays,59
VIVID - 276,Texas Rangers at Toronto Blue Jays,101
VIVID - 277,Philadelphia Phillies at Toronto Blue Jays,47
VIVID - 278,Oakland Athletics at Toronto Blue Jays,49
VIVID - 279,New York Mets at Toronto Blue Jays,50
VIVID - 280,Los Angeles Angels of Anaheim at Toronto Blue Jays,39
VIVID - 281,Washington Nationals at Toronto Blue Jays,40
VIVID - 282,Los Angeles Angels of Anaheim at Baltimore Orioles,39
VIVID - 283,Los Angeles Angels of Anaheim at Boston Red Sox,39
VIVID - 284,Pittsburgh Pirates at San Francisco Giants,66
VIVID - 285,San Diego Padres at San Francisco Giants,56
VIVID - 286,Philadelphia Phillies at San Francisco Giants,50
VIVID - 287,Miami Marlins at San Francisco Giants,82
VIVID - 288,Oakland Athletics at San Francisco Giants,83
VIVID - 289,Philadelphia Phillies at New York Mets,56
VIVID - 290,Atlanta Braves at New York Mets,102
VIVID - 291,Pittsburgh Pirates at New York Mets,68
VIVID - 292,New York Yankees at New York Mets,103
VIVID - 293,Los Angeles Dodgers at San Francisco Giants,42
VIVID - 294,Texas Rangers at San Francisco Giants,62
VIVID - 295,Milwaukee Brewers at San Francisco Giants,85
VIVID - 296,Houston Astros at San Francisco Giants,89
VIVID - 297,Arizona Diamondbacks at San Francisco Giants,77
VIVID - 298,Colorado Rockies at San Francisco Giants,126
VIVID - 299,Atlanta Braves at San Francisco Giants,60
VIVID - 300,Cincinnati Reds at San Francisco Giants,92
VIVID - 301,Chicago Cubs at San Francisco Giants,118
VIVID - 302,Oakland Athletics at Seattle Mariners,82
VIVID - 303,Kansas City Royals at Seattle Mariners,34
VIVID - 304,Baltimore Orioles at Seattle Mariners,101
VIVID - 305,Detroit Tigers at Seattle Mariners,68
VIVID - 306,Los Angeles Angels of Anaheim at Seattle Mariners,101
VIVID - 307,Cleveland Indians at Seattle Mariners,91
VIVID - 308,Texas Rangers at Seattle Mariners,60
VIVID - 309,Chicago White Sox at Seattle Mariners,52
VIVID - 310,Minnesota Twins at Seattle Mariners,58
VIVID - 311,Tampa Bay Rays at Seattle Mariners,98
VIVID - 312,Boston Red Sox at Seattle Mariners,46
VIVID - 313,Los Angeles Dodgers at Seattle Mariners,73
VIVID - 314,Toronto Blue Jays at Seattle Mariners,84
VIVID - 315,San Francisco Giants at Seattle Mariners,83
VIVID - 316,San Diego Padres at Seattle Mariners,44
VIVID - 317,New York Yankees at Seattle Mariners,51
VIVID - 318,New York Mets at San Francisco Giants,107
VIVID - 319,Washington Nationals at San Francisco Giants,129
VIVID - 320,St. Louis Cardinals at San Francisco Giants,56
VIVID - 321,New York Mets at Atlanta Braves,66
VIVID - 322,San Francisco Giants at Atlanta Braves,53
VIVID - 323,Chicago Cubs at Atlanta Braves,50
VIVID - 324,Colorado Rockies at Atlanta Braves,127
VIVID - 325,Milwaukee Brewers at Atlanta Braves,79
VIVID - 326,Washington Nationals at Atlanta Braves,110
VIVID - 327,Miami Marlins at Atlanta Braves,108
VIVID - 328,Philadelphia Phillies at Atlanta Braves,79
VIVID - 329,San Diego Padres at Atlanta Braves,79
VIVID - 330,Toronto Blue Jays at Atlanta Braves,86
VIVID - 331,Los Angeles Dodgers at Atlanta Braves,62
VIVID - 332,Pittsburgh Pirates at Atlanta Braves,104
VIVID - 333,St. Louis Cardinals at Atlanta Braves,55
VIVID - 334,New York Yankees at Atlanta Braves,45
VIVID - 335,Cincinnati Reds at Atlanta Braves,62
VIVID - 336,Houston Astros at Atlanta Braves,109
VIVID - 337,Arizona Diamondbacks at Atlanta Braves,85
VIVID - 338,Baltimore Orioles at Atlanta Braves,73
VIVID - 339,Houston Astros at Cincinnati Reds,76
VIVID - 340,Washington Nationals at Cincinnati Reds,64
VIVID - 341,Colorado Rockies at Cincinnati Reds,61
VIVID - 342,Pittsburgh Pirates at Cincinnati Reds,70
VIVID - 343,Milwaukee Brewers at Cincinnati Reds,82
VIVID - 344,Atlanta Braves at Cincinnati Reds,62
VIVID - 345,St. Louis Cardinals at Cincinnati Reds,67
VIVID - 346,San Diego Padres at Cincinnati Reds,70
VIVID - 347,Los Angeles Dodgers at Cincinnati Reds,71
VIVID - 348,New York Mets at Cincinnati Reds,67
VIVID - 349,Detroit Tigers at Cincinnati Reds,93
VIVID - 350,Chicago Cubs at Cincinnati Reds,87
VIVID - 351,San Francisco Giants at Cincinnati Reds,91
VIVID - 352,Philadelphia Phillies at Cincinnati Reds,73
VIVID - 353,Arizona Diamondbacks at Cincinnati Reds,84
VIVID - 354,Cleveland Indians at Cincinnati Reds,61
VIVID - 355,Minnesota Twins at Cincinnati Reds,67
VIVID - 356,Texas Rangers at Tampa Bay Rays,79
VIVID - 357,Detroit Tigers at Tampa Bay Rays,66
VIVID - 358,Boston Red Sox at Tampa Bay Rays,54
VIVID - 359,Baltimore Orioles at Tampa Bay Rays,57
VIVID - 360,Miami Marlins at Tampa Bay Rays,101
VIVID - 361,Atlanta Braves at Tampa Bay Rays,40
VIVID - 362,Toronto Blue Jays at Tampa Bay Rays,67
VIVID - 363,Oakland Athletics at Tampa Bay Rays,89
VIVID - 364,Minnesota Twins at Tampa Bay Rays,74
VIVID - 365,Los Angeles Angels of Anaheim at Tampa Bay Rays,76
VIVID - 366,New York Yankees at Tampa Bay Rays,62
VIVID - 367,Cleveland Indians at Tampa Bay Rays,62
VIVID - 368,Seattle Mariners at Tampa Bay Rays,65
VIVID - 369,Kansas City Royals at Tampa Bay Rays,112
VIVID - 370,Chicago White Sox at Tampa Bay Rays,93
VIVID - 371,New York Mets at Tampa Bay Rays,94
VIVID - 372,Chicago Cubs at New York Mets,61
VIVID - 373,Cincinnati Reds at New York Mets,63
VIVID - 374,Washington Nationals at New York Mets,44
VIVID - 375,Houston Astros at New York Mets,55
VIVID - 376,Miami Marlins at New York Mets,49
VIVID - 377,San Francisco Giants at New York Mets,53
VIVID - 378,Los Angeles Dodgers at New York Mets,80
VIVID - 379,Arizona Diamondbacks at New York Mets,56
VIVID - 380,Colorado Rockies at New York Mets,57
VIVID - 381,San Diego Padres at New York Mets,50
VIVID - 382,St. Louis Cardinals at New York Mets,32
VIVID - 383,Baltimore Orioles at New York Mets,100
VIVID - 384,Milwaukee Brewers at New York Mets,67
VIVID - 385,Miami Marlins at Cincinnati Reds,105
VIVID - 386,San Francisco Giants at San Diego Padres,73
VIVID - 387,Arizona Diamondbacks at San Diego Padres,63
VIVID - 388,Cincinnati Reds at San Diego Padres,113
VIVID - 389,Atlanta Braves at San Diego Padres,70
VIVID - 390,Colorado Rockies at San Diego Padres,99
VIVID - 391,Philadelphia Phillies at San Diego Padres,64
VIVID - 392,Chicago Cubs at San Diego Padres,87
VIVID - 393,Miami Marlins at San Diego Padres,81
VIVID - 394,Los Angeles Dodgers at San Diego Padres,57
VIVID - 395,Washington Nationals at San Diego Padres,99
VIVID - 396,Houston Astros at San Diego Padres,62
VIVID - 397,Milwaukee Brewers at San Diego Padres,55
VIVID - 398,Pittsburgh Pirates at San Diego Padres,88
VIVID - 399,Seattle Mariners at San Diego Padres,106
VIVID - 400,New York Mets at San Diego Padres,117
VIVID - 401,St. Louis Cardinals at San Diego Padres,54
VIVID - 402,Texas Rangers at San Diego Padres,85
VIVID - 403,Tampa Bay Rays at Cleveland Indians,47
VIVID - 404,Chicago White Sox at Cleveland Indians,98
VIVID - 405,New York Yankees at Cleveland Indians,88
VIVID - 406,Texas Rangers at Cleveland Indians,68
VIVID - 407,Seattle Mariners at Cleveland Indians,100
VIVID - 408,Minnesota Twins at Cleveland Indians,57
VIVID - 409,Cincinnati Reds at Cleveland Indians,121
VIVID - 410,Baltimore Orioles at Cleveland Indians,56
VIVID - 411,Kansas City Royals at Cleveland Indians,58
VIVID - 412,Detroit Tigers at Cleveland Indians,89
VIVID - 413,Boston Red Sox at Cleveland Indians,67
VIVID - 414,Toronto Blue Jays at Cleveland Indians,89
VIVID - 415,Oakland Athletics at Cleveland Indians,73
VIVID - 416,Pittsburgh Pirates at Cleveland Indians,93
VIVID - 417,Miami Marlins at Cleveland Indians,57
VIVID - 418,Spring Training - New York Yankees at Philadelphia Phillies,62
VIVID - 419,Spring Training - Baltimore Orioles at Philadelphia Phillies (Split Squad),89
VIVID - 420,Spring Training - Boston Red Sox at Philadelphia Phillies,107
VIVID - 421,Spring Training - Pittsburgh Pirates at Philadelphia Phillies,55
VIVID - 422,Spring Training - Minnesota Twins at Philadelphia Phillies,67
VIVID - 423,Spring Training - Toronto Blue Jays at Philadelphia Phillies,40
VIVID - 424,Spring Training - Atlanta Braves at Philadelphia Phillies (Split Squad),68
VIVID - 425,Spring Training - Detroit Tigers at Philadelphia Phillies,75
VIVID - 426,Spring Training - Houston Astros at Philadelphia Phillies,54
VIVID - 427,Spring Training - Baltimore Orioles at Philadelphia Phillies,79
VIVID - 428,Spring Training - Tampa Bay Rays at Philadelphia Phillies,59
VIVID - 429,Spring Training - Detroit Tigers at Philadelphia Phillies (Split Squad),93
VIVID - 430,Spring Training - Florida State Seminoles at Philadelphia Phillies,80
VIVID - 431,Los Angeles Angels of Anaheim at San Diego Padres,54
VIVID - 432,Los Angeles Angels of Anaheim at Cleveland Indians,119
VIVID - 433,Los Angeles Angels of Anaheim at Detroit Tigers,126
VIVID - 434,Tampa Bay Rays at Chicago White Sox,103
VIVID - 435,Kansas City Royals at Chicago White Sox,73
VIVID - 436,Toronto Blue Jays at Chicago White Sox,48
VIVID - 437,Detroit Tigers at Chicago White Sox,106
VIVID - 438,Baltimore Orioles at Chicago White Sox,62
VIVID - 439,Texas Rangers at Chicago White Sox,100
VIVID - 440,Minnesota Twins at Chicago White Sox,48
VIVID - 441,Seattle Mariners at Chicago White Sox,61
VIVID - 442,Oakland Athletics at Chicago White Sox,82
VIVID - 443,Milwaukee Brewers at Chicago White Sox,74
VIVID - 444,Houston Astros at Chicago White Sox,101
VIVID - 445,Chicago Cubs at Chicago White Sox,92
VIVID - 446,Cleveland Indians at Chicago White Sox,102
VIVID - 447,Boston Red Sox at Chicago White Sox,95
VIVID - 448,New York Yankees at Chicago White Sox,61
VIVID - 449,Los Angeles Angels of Anaheim at Chicago White Sox,56
VIVID - 450,Colorado Rockies at Los Angeles Dodgers,35
VIVID - 451,St. Louis Cardinals at Los Angeles Dodgers,100
VIVID - 452,San Francisco Giants at Los Angeles Dodgers,56
VIVID - 453,Chicago White Sox at Los Angeles Dodgers,87
VIVID - 454,Miami Marlins at Los Angeles Dodgers,95
VIVID - 455,Arizona Diamondbacks at Los Angeles Dodgers,97
VIVID - 456,New York Mets at Los Angeles Dodgers,89
VIVID - 457,Cincinnati Reds at Los Angeles Dodgers,50
VIVID - 458,Atlanta Braves at Los Angeles Dodgers,67
VIVID - 459,San Diego Padres at Los Angeles Dodgers,60
VIVID - 460,Philadelphia Phillies at Los Angeles Dodgers,68
VIVID - 461,Washington Nationals at Los Angeles Dodgers,47
VIVID - 462,Milwaukee Brewers at Los Angeles Dodgers,112
VIVID - 463,Los Angeles Angels of Anaheim at Los Angeles Dodgers,87
VIVID - 464,Houston Astros at Los Angeles Dodgers,92
VIVID - 465,Chicago Cubs at Los Angeles Dodgers,53
VIVID - 466,Los Angeles Dodgers at Colorado Rockies,58
VIVID - 467,Arizona Diamondbacks at Colorado Rockies,77
VIVID - 468,San Diego Padres at Colorado Rockies,79
VIVID - 469,Washington Nationals at Colorado Rockies,78
VIVID - 470,San Francisco Giants at Colorado Rockies,64
VIVID - 471,St. Louis Cardinals at Colorado Rockies,99
VIVID - 472,Cincinnati Reds at Colorado Rockies,57
